Nimike;Tekijä;ISBN;Varauksia;Niteitä;Tilattuja lisäkappaleita;Varauksia / nide
Se mikä ei tapa ;Lagercrantz, David ;9789510406960;1596;174;1;9.1
Nainen junassa ;Hawkins, Paula ;9789511291633;1181;86;0;13.7
Surunpotku ;Lehtolainen, Leena ;9789513185275;1129;347;0;3.3
He eivät tiedä mitä tekevät : romaani ;Valtonen, Jussi ;9789513174293;1125;430;0;2.6
Kaikki se valo jota emme näe ;Doerr, Anthony ;9789510409749;950;293;103;2.4
Yöperhonen : romaani ;Kettu, Katja ;9789510412794;949;284;0;3.3
Rautaveri ;Marklund, Liza ;9789511291718;927;179;0;5.2
Meikkipussin pohjalta ;Haatanen, Kaisa ;9789510406878;809;169;0;4.8
KonMari : siivouksen elämänmullistava taika ;Kondo, Marie ;9789522792167;790;203;0;3.9
Emännöitsijä ;Mustonen, Enni ;9789511275831;788;224;10;3.4
Stockmann Yard : myymäläetsivän muistelmat ;Terras, Antto ;9789520112738;784;99;0;7.9
Kaikki taivaan linnut ;Lee, Harper ;9789512401222;769;171;0;4.5
Helle ;Pakkanen, Outi ;9789511290681;712;213;0;3.3
Henkireikä ;Hotakainen, Kari ;9789522343161;680;269;0;2.5
Viimeinen juna Moskovaan ;Nyberg, René ;9789522342607;614;28;104;4.7
Paperiprinssi ;Utrio, Kaari ;9789525330779;590;65;2;8.8
Ehkä rakkaus oli totta ;Jones, Sadie ;9789511284987;560;225;0;2.5
Ehtoolehdon tuho ;Lindgren, Minna ;9789518516463;548;368;0;1.5
Leijonankesyttäjä ;Läckberg, Camilla ;9789512095643;547;368;0;1.5
Eino ;Rönkä, Matti ;9789512400713;518;152;0;3.4
Susanin vaikutus ;Høeg, Peter ;9789513182342;497;175;1;2.8
Muistan : Otavan aika ;Mäkelä, Hannu ;9789513184414;467;51;70;3.9
Jarkko Ruutu : jumalainen näytelmä ;Nyholm, Tuomas ;9789511292760;455;35;0;13.0
Oneiron : fantasia kuolemanjälkeisistä sekunneista ;Lindstedt, Laura ;9789518515442;447;111;0;4.0
Mykkä tyttö ;Hjorth, Michael ;9789522792365;446;154;0;2.9
Vainooja : rikosromaani ;Kepler, Lars ;9789513181413;421;337;0;1.2
Tapaus 64 ;Adler-Olsen, Jussi ;9789512095759;417;164;0;2.5
Joka yksin kulkee ;Jungstedt, Mari ;9789511287773;417;186;0;2.2
Joulukuun kymmenes ;Saunders, George ;9789522342850;381;86;70;2.4
Antautuminen ;Snellman, Anja ;9789510414385;380;208;0;1.8
Pidä huolta äidistä ;Shin, Kyung-sook ;9789522643681;369;94;0;3.9
Suoliston salaisuus : kaikki kehomme keskeisestä elimestä ;Enders, Giulia ;9789511285694;367;169;0;2.2
Varo minua : romaani ;Hiltunen, Pekka ;9789510413043;342;74;0;4.6
Kuin surmaisi satakielen ;Lee, Harper ;9789512400423;339;50;1;6.6
Käärmeitten kesä : Karl Axel Björkin uusia tutkimuksia ;Hämeen-Anttila, Virpi ;9789511282457;315;133;0;2.4
Kun aika loppuu : romaani ;Hirvonen, Elina ;9789510409848;315;150;0;2.1
Salametsästäjä ;Gerritsen, Tess ;9789511284390;311;84;0;3.7
Stoner ;Williams, John ;9789522791122;305;115;0;2.7
Musta satu ;Ollikainen, Aki ;9789522342843;304;111;35;2.1
Perillä kello kuusi ;Honkasalo, Laura ;9789511273752;303;134;0;2.3
Matkaopas keskiajan Suomeen ;Aalto, Ilari ;9789523001077;301;90;0;3.3
Kuolema merkitsee omansa ;James, Peter ;9789523121669;300;85;0;3.5
Ruotsalaiset saappaat ;Mankell, Henning ;9789511291725;298;102;0;2.9
Kaivos ;Tuomainen, Antti ;9789520112462;288;83;0;3.5
Vartiotornin varjossa : toisenlainen totuus jehovantodistajuudesta ;Ruoho, Aila ;9789523001640;277;12;1;21.3
Näkymätön vartija ;Redondo, Dolores ;9789512094387;270;73;0;3.7
Kerro minulle jotain hyvää ;Moyes, Jojo ;9789512098361;270;210;0;1.3
Valonkantajat : välähdyksiä suomalaisesta salatieteestä ;Häkkinen, Perttu ;9789520111588;263;90;0;2.9
Kauheimmat runot ;Holma, Antti ;9789511290445;262;46;35;3.2
Haukka ja kyyhky ;Soininvaara, Taavi ;9789511287780;252;161;0;1.6
Naapuri ;Koch, Herman ;9789522342836;245;81;10;2.7
Jutan voimakirja ;Gustafsberg, Jutta ;9789510412695;244;38;35;3.3
Kaukaiset hetket ;Morton, Kate ;9789522792594;242;86;0;2.8
Himoshoppaaja tähtien tiellä ;Kinsella, Sophie ;9789510411209;242;120;0;2.0
Viikingin varjossa : Katja Halmeen tarina ;Salomaa, Paula ;9789511291596;240;28;0;8.6
Parempaa väkeä ;Waters, Sarah ;9789513182281;238;87;18;2.3
Hirmuinen mies ;Oranen, Raija ;9789518516241;236;99;0;2.4
Kevyt liha ;Ala-Harja, Riikka ;9789520112936;235;97;0;2.4
Aamupala : hyvinvointi alkaa aamusta ;Stolt, Hanna ;9789523210424;224;12;0;18.7
Palava huone ;Connelly, Michael ;9789512099245;222;77;0;2.9
Hausfrau : kotona Sveitsissä ;Helve-Sibaja, Liisa ;9789523001435;220;50;1;4.3
Tunne lukkosi : vapaudu tunteiden vallasta ;Takanen, Kimmo ;9789510383124;214;98;0;2.2
Parantava ruoka : tietoa ravitsemuksesta, vitaliteetista ja terveydestä ;Somppi, Taija ;9789512099856;210;37;0;5.7
Mimmit. 3 ;Pancol, Katherine ;9789522792426;206;98;0;2.1
Grey ;James, E. L. ;9789511291701;205;56;0;3.7
Valonöörit : sisäisen motivaation käsikirja ;Martela, Frank ;9789512098965;204;76;0;2.7
Varjo vierellä käy ;Tuominen, Pirjo ;9789513185114;202;96;0;2.1
Sopimus ;Magee, Audrey ;9789523001176;202;94;10;1.9
Vuori ;Grisham, John ;9789510410721;201;76;0;2.6
Tuomitut ;Vala, Vera ;9789512400690;201;82;0;2.5
Herkän vatsan valinnat : suolisto kuntoon ruokavaliolla ;Laatikainen, Reijo ;9789522882615;200;41;1;4.8
Hello Ruby ;Liukas, Linda ;9789511290384;199;100;17;1.7
Sekaisin LOVEsta ;Vuorisalmi, Emilia ;9789511290155;197;37;18;3.6
Britt-Marie kävi täällä ;Backman, Fredrik ;9789511287155;191;85;0;2.2
Kätilö ;Kettu, Katja ;9789510411261;187;4;0;46.8
Hopeisen hummerihaarukan tapaus ;Bradley, Alan ;9789522791900;187;99;0;1.9
Katso naamion taa : romaani ;Pakkanen, Outi ;9789511287681;186;53;0;3.5
Submarino ;Bengtsson, Jonas T. ;9789520109325;184;72;0;2.6
Avojaloin : 20 tositarinaa Karjalan Kannakselta ;;9789512098989;184;89;1;2.0
Daavidintähdet ;Ohlsson, Kristina ;9789510398418;183;152;0;1.2
Järnblod ;Marklund, Liza ;9789164204530;182;20;0;9.1
Mekkotehdas aikuisille ;Etula, Kirsi ;9789510409732;182;80;0;2.3
Järjestäjä ;Holma, Antti ;9789511289593;180;60;0;3.0
Keräilijä ;Roberts, Nora ;9789512099719;177;79;0;2.2
Rakkaudenhirviö ;Turunen, Saara ;9789513182731;175;43;20;2.8
